holder_id,gross_interest_reported,first_name,last_name,nino,date_of_birth,address_line_1,town,postcode
H0003131,3049.13,Brian,Whitfield,WE102824A,1959-04-01,61 Cathedral Close,Sheffield,S33 8TR
H0003133,1517.9,Dev,Okonkwo,JM521190C,1991-09-04,144 Cathedral Close,Glasgow,G13 2YD
H0003134,3322.34,Aisha,Chowdhury,OP419280A,,65 Fenwick Street,Birmingham,B16 4EZ
H0003135,459.86,William,Hargreaves,NH457155A,2003-01-28,184 Eastgate,Cardiff,CF8 8LN
H0003136,1177.78,Dev,Whitfield,LE054196C,1971-01-24,75 Bramley Road,Cardiff,CF25 4AP
H0003137,863.84,Imogen,Whitfield,YW779668B,1957-01-11,125 Dovecote Lane,Manchester,M7 5PN
H0003138,2261.8,Grace,Okonkwo,BB323654C,1998-05-13,17 Cathedral Close,Newcastle upon Tyne,NE35 9JD
H0003139,4051.28,Quentin,Fitzgerald,XJ984555D,1992-01-17,68 Granby Row,Leeds,LS26 3LL
H0003140,821.52,Eleanor,Pemberton,RN043515D,1942-10-29,77 Granby Row,Leeds,LS16 3NW
H0003141,1146.2,Yusuf,Quinn,WH866939B,1958-08-04,26 Granby Row,Nottingham,NG21 1ED
H0003142,1224.65,Niamh,Kaur,MT695145A,2003-10-13,80 Dovecote Lane,Norwich,NR39 3BW
H0003143,2647.26,Farid,Mensah,JW003528A,1999-12-20,91 Dovecote Lane,Norwich,NR39 6JR
H0003144,189.88,Priya,Rahman,TM514772C,1958-03-02,163 Bramley Road,Newcastle upon Tyne,NE31 1RX
H0003145,627.52,Ualan,Rahman,GA859989B,1998-05-02,1 Dovecote Lane,Nottingham,NG32 4FU
H0003146,383.47,Grace,Pemberton,OS254077C,,145 Alder Way,Leeds,LS23 9HH
H0003147,1934.7,Sanjay,Thackeray,NA670720B,1969-01-12,52 Eastgate,Bristol,BS33 6TS
H0003148,6502.18,Mohammed,Fitzgerald,RT973659A,1947-09-28,134 Cathedral Close,Glasgow,G22 7FE
H0003149,3043.28,William,Thackeray,NP170174C,1995-09-14,65 Eastgate,Cardiff,CF8 7PJ
H0003150,6239.47,Quentin,Iqbal,YE373385D,1977-07-13,178 Alder Way,Sheffield,S8 4UH
H0003151,5035.15,Yusuf,Ubadike,GP992352B,1969-09-09,50 Bramley Road,Manchester,M17 2AN
H0003152,2325.64,Eleanor,Bhatt,SE495814B,1983-10-04,206 Jubilee Terrace,Nottingham,NG6 3PB
H0003153,4619.3,Farid,Nowak,HM712203D,1953-05-09,100 Bramley Road,Manchester,M19 9GU
H0003154,2180.75,Oluwaseun,Jenkins,CW891120A,2005-05-22,28 Dovecote Lane,Leeds,LS1 3DW
H0003155,1488.14,Aisha,Sinclair,EY116605C,2000-03-22,204 Dovecote Lane,Manchester,M21 1JX
H0003156,1239.86,Jaspreet,Mensah,ZP829715D,1996-03-30,45 Alder Way,Leeds,LS3 5EW
H0003157,8.47,Yusuf,Ubadike,WA796865B,1970-01-02,65 Eastgate,Leeds,LS2 8AA
H0003158,633.47,William,Iqbal,LR344360B,1958-06-20,106 Ivywood Crescent,Manchester,M32 2FP
H0003159,1934.38,Eleanor,Gill,MB896432A,1976-06-14,179 Fenwick Street,Leeds,LS1 7TD
H0003160,1135.5,Catherine,Thackeray,SW381832D,1942-05-17,66 Dovecote Lane,Bristol,BS38 9YY
H0003161,2644.8,Tara,Sinclair,AS562550B,1983-11-19,47 Granby Row,Bristol,BS10 1EE
H0003162,4079.84,Ualan,Mensah,EJ392261C,1944-10-14,156 Granby Row,Bristol,BS2 4FN
H0003163,39.85,Eleanor,Nowak,RB568662B,1974-04-24,101 Alder Way,Newcastle upon Tyne,NE31 7JS
H0003164,4406.19,Verity,Nowak,HS984648D,1953-11-08,101 Bramley Road,Glasgow,G33 5SA
H0003165,479.11,Aisha,Okonkwo,ZX643848A,1971-12-25,24 Granby Row,Manchester,M14 5XR
H0003166,600.62,Oluwaseun,Chowdhury,AC068794C,1953-09-05,216 Granby Row,Norwich,NR9 4BJ
H0003167,3561.88,Hamish,Rahman,ST226389A,1954-04-23,12 Alder Way,Norwich,NR7 4LN
H0003169,581.47,Lucy,Okonkwo,SL141924D,1956-09-14,123 Cathedral Close,Nottingham,NG29 7NG
H0003170,5250.65,Xiuying,Zielinski,JJ291849D,1969-02-20,83 Granby Row,Manchester,M2 2ZD
H0003171,1903.13,Zainab,Fitzgerald,KA800536C,1981-08-05,61 Jubilee Terrace,Cardiff,CF34 8RJ
H0003172,3566.83,Xiuying,Iqbal,MP317098C,1990-09-03,217 Alder Way,Newcastle upon Tyne,NE20 6JP
H0003173,230.41,Tara,Vasquez,PY837378A,1965-05-04,,Bristol,BS27 1PN
H0003174,2517.7,William,Yates,OW952915C,2003-01-22,160 Dovecote Lane,Cardiff,CF24 6PE
H0003175,2399.22,Verity,Iqbal,JZ361328D,1968-01-20,172 Fenwick Street,Birmingham,B30 4XL
H0003176,1863.83,Brian,Chowdhury,BH642330B,2000-08-14,44 Granby Row,Norwich,NR4 4HQ
H0003177,1118.27,William,Rahman,XL194352B,1947-05-16,215 Jubilee Terrace,Newcastle upon Tyne,NE2 1GR
H0003179,5107.87,Dev,Ubadike,CN230756D,1982-05-29,128 Jubilee Terrace,Bristol,BS13 6EZ
H0003180,3176.23,Zainab,Ubadike,NX683094D,1988-09-05,192 Bramley Road,Newcastle upon Tyne,NE23 2ZT
H0003181,673.23,Kwame,Fitzgerald,RT753527A,1944-10-09,68 Hollybank Avenue,Glasgow,G26 9RH
H0003182,1827.67,Brian,Okonkwo,HB942413A,1979-12-17,107 Alder Way,Newcastle upon Tyne,NE39 4UH
H0003184,4771.96,Ualan,Eriksson,PZ749762C,1983-01-12,136 Ivywood Crescent,Sheffield,S21 1YP
H0003185,70.64,Brian,Bhatt,OB954598D,1972-07-03,3 Dovecote Lane,Birmingham,B35 4FX
H0003186,2222.82,Brian,Nowak,SW772990D,1973-06-18,113 Alder Way,Sheffield,S21 5NQ
H0003187,4077.63,Rosalind,Mensah,GX485167B,1965-11-27,,Cardiff,CF31 9PS
H0003189,4528.3,Eleanor,Rahman,PH904630C,1989-05-17,122 Jubilee Terrace,Glasgow,G34 8JG
H0003190,1912.78,Aisha,Quinn,AE868327D,1998-09-17,63 Dovecote Lane,Cardiff,CF37 3LL
H0003191,31.9,Dev,Thackeray,WM402889D,1957-01-17,105 Granby Row,Cardiff,CF14 8EZ
H0003192,1145.05,Quentin,Jenkins,XM047720D,1941-03-10,81 Dovecote Lane,Newcastle upon Tyne,NE5 6BB
H0003193,341.66,Farid,Pemberton,GP856688A,1960-02-11,117 Alder Way,Bristol,BS25 3HE
H0003194,2582.47,Grace,Xu,MN468571B,1964-03-20,102 Bramley Road,Cardiff,CF38 5QE
H0003195,1785.37,Kwame,Chowdhury,ZL683865D,1998-04-26,108 Dovecote Lane,Nottingham,NG19 1GB
H0003196,25.47,Rosalind,Gill,XT534857B,1987-05-24,208 Hollybank Avenue,Bristol,BS2 4SJ
H0003197,645.06,Rosalind,Lindqvist,PX232377B,1966-06-15,209 Ivywood Crescent,Sheffield,S37 3DP
H0003199,2551.34,Hamish,Mensah,NR533511B,1948-04-01,162 Bramley Road,Glasgow,G21 1YA
H0003200,780.3,Grace,Sinclair,XK133012B,1980-10-19,58 Jubilee Terrace,Newcastle upon Tyne,NE23 3PG
H0003201,907.07,Farid,Mensah,PA886478C,1944-05-27,223 Cathedral Close,Cardiff,CF27 2AN
H0003202,486.49,Oluwaseun,Chowdhury,WE608083B,1983-04-13,218 Eastgate,Newcastle upon Tyne,NE13 3AL
H0003203,1353.21,Farid,Mensah,GC623571D,1961-10-27,41 Dovecote Lane,Cardiff,CF28 8RQ
H0003204,198.2,Dev,Vasquez,GL031390B,1950-10-24,166 Hollybank Avenue,Birmingham,B34 7RE
H0003206,2010.89,Imogen,Yates,ON630738C,1951-10-19,225 Bramley Road,Nottingham,NG35 5FD
H0003207,3583.04,Dev,Lindqvist,JH271981A,1970-05-02,19 Jubilee Terrace,Leeds,LS32 9FW
H0003208,1534.01,Grace,Abbott,OA176326A,1998-04-22,,Manchester,M5 4NT
H0003210,398.69,Mohammed,Fitzgerald,OL353561C,1979-01-24,175 Hollybank Avenue,Nottingham,NG22 9GW
H0003211,310.0,Niamh,Zielinski,RP235089A,1989-01-17,29 Bramley Road,Glasgow,G32 2WY
H0003212,2542.79,Dev,Ubadike,AJ937673D,1950-02-03,16 Fenwick Street,Manchester,M35 1AU
H0003213,5342.91,Grace,Lindqvist,KS111622C,1965-10-18,95 Alder Way,Sheffield,S13 7BH
H0003214,1437.8,Oluwaseun,Gill,ZK778435A,1976-09-01,62 Jubilee Terrace,Cardiff,CF39 7RF
H0003215,1434.53,Kwame,Chowdhury,ST135397C,1972-02-25,31 Bramley Road,Nottingham,NG17 7RW
H0003216,579.07,Imogen,Gill,KZ019660C,1951-09-06,218 Eastgate,Leeds,LS40 3RX
H0003217,1012.01,Rosalind,Lindqvist,RZ374576C,2005-02-14,106 Eastgate,Glasgow,G21 7WF
H0003219,2986.26,Verity,Hargreaves,OK101634D,1951-01-26,94 Granby Row,Birmingham,B40 1QJ
H0003220,68.68,Sanjay,Iqbal,ZR956581D,1983-12-22,119 Jubilee Terrace,Glasgow,G36 5HA
H0003221,555.6,Rosalind,Lindqvist,AM667405D,2001-12-16,119 Cathedral Close,Manchester,M3 6XG
H0003222,4254.39,Mohammed,Thackeray,WG580347C,1988-11-15,222 Fenwick Street,Newcastle upon Tyne,NE5 7GB
H0003223,181.11,Mohammed,Sinclair,WN477207D,1980-10-06,197 Ivywood Crescent,Newcastle upon Tyne,NE30 7XB
H0003224,5564.6,Priya,Yates,ZT966806A,1940-05-24,36 Granby Row,Cardiff,CF27 7TD
H0003225,6088.26,Imogen,Rahman,KG212386C,1981-08-17,146 Dovecote Lane,Norwich,NR37 7XE
H0003226,5837.44,Rosalind,Abbott,MN264083C,1998-12-01,189 Ivywood Crescent,Bristol,BS25 2YN
H0003227,5254.01,Catherine,Chowdhury,CT105645B,,170 Granby Row,Nottingham,NG24 3LE
H0003228,55.2,Ualan,Yates,SC959977A,1996-08-04,210 Cathedral Close,Birmingham,B18 6QZ
H0003229,5077.65,Brian,Doyle,YE533236C,1980-09-07,215 Fenwick Street,Cardiff,CF10 7FN
H0003230,673.63,Yusuf,Yates,ZY488741D,1945-06-11,,Sheffield,S13 1WT
H0003231,2376.38,Tara,Lindqvist,YL132453A,1957-03-10,159 Bramley Road,Bristol,BS20 8GW
H0003232,2327.4,Verity,Fitzgerald,JW855549D,1946-09-15,33 Eastgate,Birmingham,B22 8BX
H0003233,572.56,Zainab,Okonkwo,MC584451A,1978-06-05,34 Eastgate,Norwich,NR11 6PW
H0003235,3676.84,Hamish,Doyle,SY363307C,,186 Fenwick Street,Nottingham,NG14 3AF
H0003236,407.69,Ualan,Chowdhury,BX276343C,1944-03-06,60 Alder Way,Leeds,LS4 8QH
H0003238,703.15,Catherine,Eriksson,KH754302D,1962-01-04,235 Eastgate,Birmingham,B13 5YF
H0003239,2274.97,Dev,Sinclair,CK138340B,1960-05-15,178 Fenwick Street,Bristol,BS30 5LZ
H0003240,952.21,Oluwaseun,Mensah,WB680619A,1975-04-03,204 Fenwick Street,Leeds,LS8 8NZ
H0003242,2420.3,Sanjay,Abbott,MZ965870A,1971-08-14,41 Granby Row,Leeds,LS30 1ZQ
H0003243,495.37,Kwame,Lindqvist,CL383272A,1960-04-10,22 Jubilee Terrace,Glasgow,G30 3SN
H0003244,1138.06,Verity,Lindqvist,PE492796A,1954-07-12,2 Fenwick Street,Norwich,NR3 5GQ
H0003245,4978.97,Aisha,Nowak,CB861853C,1983-08-04,78 Bramley Road,Manchester,
H0003246,1764.05,Xiuying,Iqbal,CW471429C,1978-05-06,161 Fenwick Street,Cardiff,CF15 7YR
H0003247,474.2,Xiuying,Kaur,BP829369D,1945-12-27,25 Alder Way,Birmingham,B28 9PB
H0003248,688.18,Verity,Xu,HS167242C,1994-09-14,67 Jubilee Terrace,Nottingham,
H0003250,1602.18,Aisha,Pemberton,YZ474012D,1962-07-13,213 Granby Row,Birmingham,B30 5AZ
H0003251,364.91,Yusuf,Kaur,TB908722A,1998-03-20,201 Fenwick Street,Bristol,BS32 8BJ
H0003252,336.39,Zainab,Bhatt,EE932267B,1996-08-26,28 Ivywood Crescent,Sheffield,S29 3UF
H0003253,1188.66,Tara,Yates,WP299071D,,179 Ivywood Crescent,Norwich,NR3 8XD
H0003254,8491.85,Sanjay,Lindqvist,KA133074C,1950-04-15,38 Granby Row,Birmingham,B37 7HX
H0003255,348.38,Ualan,Yates,AL344492C,1971-05-02,232 Fenwick Street,Sheffield,S15 1QY
H0003257,399.8,Quentin,Jenkins,PN734185D,1972-07-03,89 Alder Way,Newcastle upon Tyne,NE29 2BS
H0003258,27.44,Imogen,Pemberton,EJ428967B,1988-04-07,131 Hollybank Avenue,Newcastle upon Tyne,
H0003259,59.88,Imogen,Nowak,AC187442B,1947-01-05,148 Ivywood Crescent,Sheffield,S23 4TP
H0003260,4092.04,Priya,Abbott,LP394990D,1971-02-23,33 Eastgate,Sheffield,S12 5LY
H0003261,303.95,Catherine,Xu,HY577012C,1947-06-08,,Sheffield,S24 7BS
H0003262,2980.3,Rosalind,Ubadike,OM485780C,1984-04-13,26 Bramley Road,Bristol,BS20 9YS
H0003263,356.66,Aisha,Yates,BY944126A,1959-09-14,182 Hollybank Avenue,Sheffield,S11 7YE
H0003264,1661.58,Rosalind,Abbott,RE987376A,1986-01-25,152 Dovecote Lane,Bristol,BS22 4HZ
H0003265,1468.16,Xiuying,Pemberton,LA171444A,1983-10-08,186 Hollybank Avenue,Cardiff,CF22 7WZ
H0003266,4554.73,Lucy,Yates,TP830588B,1988-04-06,185 Alder Way,Birmingham,B4 7QB
H0003267,2434.58,Aisha,Abbott,KT546725B,1974-08-21,124 Alder Way,Newcastle upon Tyne,
H0003268,1681.15,Xiuying,Eriksson,OR051406A,1945-01-14,14 Bramley Road,Newcastle upon Tyne,NE10 8TT
H0003269,3300.12,Imogen,Sinclair,CS174127A,1985-11-27,56 Ivywood Crescent,Cardiff,CF12 1WX
H0003270,5058.79,Xiuying,Gill,PK036324B,1991-10-31,192 Ivywood Crescent,Cardiff,CF18 6NW
H0003271,1613.2,Grace,Doyle,BL201944A,1941-10-02,152 Fenwick Street,Leeds,LS12 5SU
H0003272,3807.61,Brian,Thackeray,LB201344B,1998-06-13,126 Fenwick Street,Birmingham,B7 3WR
H0003273,125.48,Dev,Whitfield,RP304113C,1971-12-24,42 Eastgate,Glasgow,G11 1TZ
H0003274,1232.47,Lucy,Xu,SE159284A,1940-11-23,,Cardiff,CF1 3QB
H0003275,761.96,Mohammed,Lindqvist,OP514990D,1972-09-04,228 Ivywood Crescent,Nottingham,NG30 6GT
H0003276,2952.64,Farid,Lindqvist,RA414697C,1985-05-10,221 Granby Row,Cardiff,CF40 2DN
H0003277,19.21,Oluwaseun,Okonkwo,MP722693A,1947-08-23,16 Alder Way,Bristol,BS4 5FX
H0003278,506.88,Oluwaseun,Lindqvist,XG750964B,1967-02-01,112 Bramley Road,Nottingham,NG16 2YB
H0003279,580.71,Aisha,Thackeray,JH932090A,2004-07-09,200 Eastgate,Glasgow,G19 2HB
H0003281,405.68,Imogen,Bhatt,ON236184B,1950-08-16,91 Bramley Road,Birmingham,B35 1SN
H0003282,3967.6,Kwame,Lindqvist,HG744974A,1978-10-08,225 Alder Way,Birmingham,B22 6FX
H0003283,1616.51,Dev,Yates,KB465533C,1991-02-21,122 Jubilee Terrace,Glasgow,G14 2LX
H0003285,516.13,Brian,Mensah,KX172941A,1947-01-19,120 Dovecote Lane,Nottingham,NG34 4XD
H0003286,3836.97,Oluwaseun,Lindqvist,OY198844A,1956-09-13,97 Dovecote Lane,Leeds,LS39 9XD
H0003287,98.41,Catherine,Quinn,KS988599B,1957-07-17,144 Jubilee Terrace,Sheffield,S31 9UL
H0003288,2727.71,Lucy,Nowak,LS509620B,1956-09-21,203 Ivywood Crescent,Birmingham,B40 2QS
H0003289,1536.89,Verity,Mensah,PK131057D,1978-04-13,123 Granby Row,Glasgow,G1 8SY
H0003290,404.12,Lucy,Yates,ZL299907C,1994-11-24,204 Jubilee Terrace,Nottingham,NG18 5SE
H0003291,1276.23,William,Whitfield,BL052221C,1957-08-30,147 Jubilee Terrace,Norwich,NR27 2GL
H0003292,79.83,Yusuf,Iqbal,CJ661120B,2001-06-12,117 Hollybank Avenue,Glasgow,G12 9AH
H0003293,4952.63,Hamish,Lindqvist,GJ033301A,1954-04-08,50 Dovecote Lane,Manchester,M11 1TA
H0003294,1451.33,Imogen,Whitfield,JA880882A,1948-01-07,93 Jubilee Terrace,Newcastle upon Tyne,NE15 6DY
H0003295,2665.18,Niamh,Jenkins,ZK168968D,1951-05-06,29 Ivywood Crescent,Norwich,NR19 3PS
H0003297,560.53,Yusuf,Mensah,BZ723994D,1966-12-04,239 Ivywood Crescent,Bristol,BS28 5QF
H0003298,78.21,Ualan,Zielinski,BZ155961B,1953-10-07,106 Granby Row,Cardiff,CF12 7YW
H0003299,223.42,Oluwaseun,Doyle,SW888448D,,4 Hollybank Avenue,Leeds,LS11 4XL
H0003300,118.76,Ualan,Kaur,EY799973A,1996-08-16,224 Jubilee Terrace,Birmingham,B11 2GG
H0003301,246.71,Farid,Jenkins,PK118755D,1945-06-11,74 Cathedral Close,Cardiff,CF28 4SQ
H0003302,1195.95,Catherine,Zielinski,SM871983C,1981-01-04,196 Alder Way,Manchester,M40 6BR
H0003303,1509.96,Xiuying,Vasquez,OS164656B,1976-04-25,33 Eastgate,Manchester,M7 4QR
H0003304,1220.09,Farid,Yates,KM722874A,1944-05-12,25 Ivywood Crescent,Glasgow,G18 4LL
H0003305,676.31,Kwame,Iqbal,LN415260A,1973-08-01,214 Cathedral Close,Sheffield,S3 2TY
H0003306,1667.37,Xiuying,Iqbal,TM711227B,,45 Ivywood Crescent,Glasgow,G18 5HP
H0003307,110.34,Zainab,Vasquez,NX377921B,2000-09-11,41 Alder Way,Bristol,BS27 6XU
H0003309,3173.14,Xiuying,Chowdhury,HL878305D,1980-09-01,7 Dovecote Lane,Sheffield,S10 3PY
H0003310,311.8,Zainab,Thackeray,NX342724C,1966-09-14,33 Granby Row,Birmingham,B15 4EG
H0003311,4852.05,Quentin,Whitfield,MW260025A,1987-08-09,216 Eastgate,Nottingham,NG27 1YG
H0003312,512.37,Sanjay,Kaur,PY441179B,1999-03-04,97 Dovecote Lane,Sheffield,S29 5XD
H0003313,5685.12,Kwame,Yates,GW649924D,1947-01-23,191 Alder Way,Leeds,LS10 9ZD
H0003314,4462.11,Oluwaseun,Jenkins,ME682829B,1949-01-29,16 Jubilee Terrace,Nottingham,
H0003315,2131.35,Kwame,Sinclair,TJ627040C,1979-08-20,129 Jubilee Terrace,Bristol,BS26 3RF
H0003316,5209.43,Kwame,Bhatt,CX802337D,1992-10-12,119 Granby Row,Sheffield,S16 9ZH
H0003317,18.44,Tara,Gill,NC318080D,1994-10-04,52 Cathedral Close,Cardiff,CF1 4HL
H0003318,9263.41,Catherine,Kaur,TE858423B,1982-10-12,103 Bramley Road,Manchester,M31 3QD
H0003319,4817.5,Catherine,Quinn,WH408475C,1984-06-02,12 Cathedral Close,Birmingham,B14 7DR
H0003320,269.3,Oluwaseun,Jenkins,AN740743A,1974-01-30,1 Cathedral Close,Leeds,LS13 5UG
H0003321,1929.64,Mohammed,Fitzgerald,WX568782A,1970-02-16,151 Jubilee Terrace,Manchester,M39 5HE
H0003322,5949.3,Zainab,Nowak,BZ984671C,1994-04-08,10 Granby Row,Norwich,NR33 7AH
H0003323,1213.05,Lucy,Nowak,OL180257B,1940-07-08,198 Ivywood Crescent,Leeds,LS7 1XL
H0003324,22.99,Oluwaseun,Hargreaves,WT292107D,1966-08-16,54 Cathedral Close,Newcastle upon Tyne,NE4 3EL
H0003325,3479.51,Mohammed,Vasquez,BW616660B,1984-03-05,35 Bramley Road,Bristol,BS23 6UX
H0003326,11.69,Zainab,Rahman,NN067574B,1958-06-26,196 Dovecote Lane,Birmingham,B1 3RN
H0003327,460.51,Mohammed,Jenkins,WJ077131B,1966-07-26,134 Fenwick Street,Bristol,BS8 3UL
H0003328,688.86,Verity,Rahman,YT267532C,1999-07-16,213 Alder Way,Manchester,M25 6XA
H0003329,1016.53,Tara,Abbott,CE813170A,1952-10-24,82 Cathedral Close,Glasgow,G36 7UR
H0003332,91.06,Eleanor,Yates,CR353832C,1974-10-12,131 Eastgate,Bristol,BS26 6UN
H0003334,407.93,Rosalind,Vasquez,WY988474D,1980-01-01,195 Eastgate,Glasgow,G4 4RG
H0003335,212.6,Lucy,Eriksson,KA393804C,1944-04-23,220 Ivywood Crescent,Newcastle upon Tyne,NE2 2BB
H0003336,259.07,Xiuying,Pemberton,HW356557D,1979-08-12,211 Cathedral Close,Manchester,M40 3SB
H0003337,6646.3,William,Xu,ZJ517352C,1966-07-16,85 Alder Way,Manchester,M17 9TL
H0003338,2885.85,Quentin,Hargreaves,CB384482D,1963-05-26,240 Ivywood Crescent,Leeds,LS20 6PU
H0003339,564.64,Priya,Doyle,SN511498B,1966-09-13,130 Hollybank Avenue,Norwich,NR9 4TP
H0003341,6187.2,Aisha,Ubadike,JC622967C,1983-03-12,182 Ivywood Crescent,Bristol,BS33 1AJ
H0003342,6439.76,Dev,Thackeray,MH800265C,1972-10-05,138 Cathedral Close,Leeds,LS4 4DH
H0003343,2137.55,Verity,Thackeray,AP947746D,2002-02-27,9 Jubilee Terrace,Cardiff,CF2 2FT
H0003344,982.53,Mohammed,Gill,JC265979A,,144 Eastgate,Newcastle upon Tyne,NE36 8WY
H0003345,3265.05,Niamh,Abbott,CS471729C,1963-09-16,159 Jubilee Terrace,Manchester,M1 1QD
H0003346,23.04,Grace,Rahman,HR685716B,1997-04-22,3 Jubilee Terrace,Manchester,M4 4YW
H0003347,10223.28,Jaspreet,Vasquez,HR311567C,1977-07-22,183 Alder Way,Nottingham,NG32 8SZ
H0003348,1283.12,Tara,Yates,WJ277865B,1996-08-23,212 Dovecote Lane,Norwich,NR5 6QS
H0003349,4908.69,Xiuying,Pemberton,BP075134B,1943-12-22,220 Hollybank Avenue,Manchester,M31 2AY
H0003350,5268.02,Xiuying,Abbott,ME930371C,2001-06-08,54 Cathedral Close,Sheffield,S11 8QW
H0003351,626.4,Imogen,Lindqvist,AA514503A,1985-07-30,88 Hollybank Avenue,Norwich,NR2 2PF
H0003352,4821.31,Tara,Chowdhury,YE647460C,1978-03-23,63 Ivywood Crescent,Leeds,LS30 8BH
H0003353,812.88,Ualan,Bhatt,EB789752A,1997-03-19,217 Cathedral Close,Manchester,M2 2GR
H0003354,2392.64,Imogen,Whitfield,LX352611D,1954-06-20,134 Fenwick Street,Birmingham,B26 3AA
H0003355,8194.04,Rosalind,Hargreaves,ZJ849453B,2004-08-02,13 Dovecote Lane,Cardiff,CF30 4UB
H0003356,4514.19,Sanjay,Quinn,PY442403A,1959-02-07,231 Eastgate,Norwich,NR15 8LN
H0003357,2541.67,Tara,Quinn,PB837510B,1946-08-04,17 Granby Row,Sheffield,S35 8PN
H0003358,55.07,Eleanor,Okonkwo,CL087723C,1992-12-25,219 Cathedral Close,Newcastle upon Tyne,NE21 8QA
H0003359,3806.22,Priya,Xu,AZ613928C,1972-06-18,8 Dovecote Lane,Newcastle upon Tyne,NE4 9PE
H0003360,2273.09,Eleanor,Iqbal,JY019071B,2001-12-27,23 Alder Way,Manchester,M27 1BA
H0003361,1709.64,Xiuying,Iqbal,GH475777B,1960-02-17,156 Alder Way,Glasgow,G26 1BD
H0003362,2613.27,Xiuying,Kaur,XS851282D,1964-03-28,234 Dovecote Lane,Nottingham,NG21 6FN
H0003363,586.35,Sanjay,Chowdhury,BN093181C,1982-11-15,114 Hollybank Avenue,Norwich,NR30 4TL
H0003364,1019.39,Catherine,Lindqvist,NJ669637B,2002-02-03,79 Hollybank Avenue,Bristol,BS24 8YT
H0003365,395.4,William,Nowak,KW270473B,1974-10-28,61 Fenwick Street,Norwich,NR24 1AN
H0003366,2439.66,Hamish,Abbott,CY329508A,1976-11-03,83 Ivywood Crescent,Manchester,M21 2LL
H0003367,3983.63,Zainab,Zielinski,YH013175A,1998-09-05,179 Alder Way,Bristol,BS3 4TG
H0003368,708.02,Quentin,Chowdhury,ZR154089B,1967-06-13,5 Dovecote Lane,Glasgow,G15 4YQ
H0003369,333.47,Tara,Pemberton,BK356946D,1970-12-13,107 Eastgate,Norwich,NR37 2HY
H0003370,862.11,Yusuf,Doyle,GY102139A,1962-01-05,117 Granby Row,Nottingham,NG36 7SW
H0003371,38.38,Ualan,Nowak,JP249751A,1991-03-18,190 Eastgate,Nottingham,NG37 4BN
H0003372,4900.59,Kwame,Thackeray,RB210075D,1997-03-23,185 Eastgate,Manchester,M27 5WE
H0003373,634.88,Priya,Vasquez,OY465482A,1988-04-11,190 Dovecote Lane,Nottingham,NG17 1JR
H0003375,133.52,Grace,Chowdhury,PR841715D,1972-12-21,113 Cathedral Close,Sheffield,S13 1SZ
H0003376,7264.64,Farid,Fitzgerald,BL951720D,1991-11-10,187 Fenwick Street,Glasgow,G5 6PP
H0003377,2176.37,Yusuf,Yates,MM997895B,1999-03-05,148 Ivywood Crescent,Norwich,NR39 2BY
H0003379,964.0,Brian,Xu,GG452394C,1996-11-23,7 Hollybank Avenue,Birmingham,B14 5GS
H0003380,225.31,William,Abbott,PK371552A,1983-07-11,10 Granby Row,Nottingham,NG27 5SZ
H0003381,4819.9,Eleanor,Pemberton,OK554712D,1949-12-23,8 Dovecote Lane,Sheffield,S31 6SA
H0003382,918.47,Priya,Fitzgerald,ZX649482C,1961-07-24,24 Fenwick Street,Newcastle upon Tyne,NE4 3AS
H0003383,8.98,Oluwaseun,Bhatt,XW907221C,1949-07-25,199 Dovecote Lane,Manchester,M3 4GG
H0003384,3036.17,Dev,Zielinski,JC089102A,1945-07-25,128 Granby Row,Norwich,NR25 1GA
H0003385,24.98,Lucy,Zielinski,WJ297007A,1959-04-02,6 Eastgate,Norwich,NR15 7WB
H0003386,2568.06,Eleanor,Fitzgerald,JA489123C,2000-04-17,100 Fenwick Street,Norwich,NR30 9YF
H0003387,570.69,Grace,Nowak,GC671313B,1961-03-26,185 Ivywood Crescent,Nottingham,NG18 7YE
H0003388,3781.39,Kwame,Mensah,LW042856B,1995-07-26,153 Bramley Road,Glasgow,G2 3SZ
H0003389,2550.12,Jaspreet,Okonkwo,RB009740D,1984-06-29,190 Cathedral Close,Manchester,M7 3EE
H0003390,3106.3,Grace,Yates,OE068064B,1985-08-02,228 Fenwick Street,Bristol,BS16 5GX
H0003391,33.26,Eleanor,Zielinski,RG228697B,1949-05-18,99 Eastgate,Newcastle upon Tyne,NE2 2SD
H0003392,6373.43,Priya,Eriksson,EM674885C,1943-09-28,96 Hollybank Avenue,Nottingham,NG2 2RU
H0003393,452.44,Hamish,Fitzgerald,CE014660D,1940-03-13,156 Bramley Road,Norwich,NR5 8QH
H0003394,269.78,William,Vasquez,KW749704B,1953-07-06,69 Hollybank Avenue,Manchester,M11 6ZY
H0003396,4779.73,Farid,Mensah,PM065163A,1963-05-16,193 Eastgate,Nottingham,NG34 8AA
H0003397,4133.37,Farid,Chowdhury,CH519994A,1990-10-31,151 Granby Row,Nottingham,NG36 1LF
H0003398,1640.67,Oluwaseun,Whitfield,SW050542B,1969-03-03,110 Cathedral Close,Nottingham,NG25 8LU
H0003399,3272.75,Oluwaseun,Nowak,MB414486B,2002-01-28,107 Cathedral Close,Glasgow,G28 1ZU
H0003400,1186.08,Brian,Xu,XY874352A,1977-08-12,63 Jubilee Terrace,Glasgow,G10 9LZ
